Date,Max TemperatureC,Min TemperatureC,Description,WindDir,WindFore
2017!1!1,24,13,晴,西南风,1级
2017!1!2,24,13,晴,西南风,2级
2017!1!3,24,13,晴,西南风,3级
2017!1!4,24,13,晴,西南风,4级
2017!1!5,24,13,晴,西南风,5级
2017!1!6,24,13,晴,西南风,6级
2017!1!7,24,13,晴,西南风,7级
2017!1!8,24,13,晴,西南风,8级
2017!1!9,24,13,晴,西南风,9级
2017!1!10,24,13,晴,西南风,10级
2017!1!11,24,13,晴,西南风,11级
2017!1!12,24,13,晴,西南风,12级
2017!1!13,24,13,晴,西南风,13级
2017!1!14,24,13,晴,西南风,14级
2017!1!15,24,13,晴,西南风,15级
2017!1!16,24,13,晴,西南风,16级
2017!1!17,24,13,晴,西南风,17级
2017!1!18,24,13,晴,西南风,18级
2017!1!19,24,13,晴,西南风,19级
2017!1!20,24,13,晴,西南风,20级
2017!1!21,24,13,晴,西南风,21级
2017!1!22,24,13,晴,西南风,22级
2017!1!23,24,13,晴,西南风,23级
2017!1!24,24,13,晴,西南风,24级
2017!1!25,24,13,晴,西南风,25级
2017!1!26,24,13,晴,西南风,26级
2017!1!27,24,13,晴,西南风,27级
2017!1!28,24,13,晴,西南风,28级
2017!1!29,24,13,晴,西南风,29级
2017!1!30,24,13,晴,西南风,30级
2017!1!31,24,13,晴,西南风,31级
2017!1!32,24,13,晴,西南风,32级
2017!1!33,24,13,晴,西南风,33级
2017!1!34,24,13,晴,西南风,34级
2017!1!35,24,13,晴,西南风,35级
2017!1!36,24,13,晴,西南风,36级
2017!1!37,24,13,晴,西南风,37级
2017!1!38,24,13,晴,西南风,38级
2017!1!39,24,13,晴,西南风,39级
2017!1!40,24,13,晴,西南风,40级
2017!1!41,24,13,晴,西南风,41级
2017!1!42,24,13,晴,西南风,42级
2017!1!43,24,13,晴,西南风,43级
2017!1!44,24,13,晴,西南风,44级
2017!1!45,24,13,晴,西南风,45级
2017!1!46,24,13,晴,西南风,46级
2017!1!47,24,13,晴,西南风,47级
2017!1!48,24,13,晴,西南风,48级
2017!1!49,24,13,晴,西南风,49级
2017!1!50,24,13,晴,西南风,50级
2017!1!51,24,13,晴,西南风,51级
2017!1!52,24,13,晴,西南风,52级
2017!1!53,24,13,晴,西南风,53级
2017!1!54,24,13,晴,西南风,54级
2017!1!55,24,13,晴,西南风,55级
2017!1!56,24,13,晴,西南风,56级
2017!1!57,24,13,晴,西南风,57级
2017!1!58,24,13,晴,西南风,58级
2017!1!59,24,13,晴,西南风,59级
2017!1!60,24,13,晴,西南风,60级
2017!1!61,24,13,晴,西南风,61级
2017!1!62,24,13,晴,西南风,62级
2017!1!63,24,13,晴,西南风,63级
2017!1!64,24,13,晴,西南风,64级
2017!1!65,24,13,晴,西南风,65级
2017!1!66,24,13,晴,西南风,66级
2017!1!67,24,13,晴,西南风,67级
2017!1!68,24,13,晴,西南风,68级
2017!1!69,24,13,晴,西南风,69级
2017!1!70,24,13,晴,西南风,70级
2017!1!71,24,13,晴,西南风,71级
2017!1!72,24,13,晴,西南风,72级
2017!1!73,24,13,晴,西南风,73级
2017!1!74,24,13,晴,西南风,74级
2017!1!75,24,13,晴,西南风,75级
2017!1!76,24,13,晴,西南风,76级
2017!1!77,24,13,晴,西南风,77级
2017!1!78,24,13,晴,西南风,78级
2017!1!79,24,13,晴,西南风,79级
2017!1!80,24,13,晴,西南风,80级
2017!1!81,24,13,晴,西南风,81级
2017!1!82,24,13,晴,西南风,82级
2017!1!83,24,13,晴,西南风,83级
2017!1!84,24,13,晴,西南风,84级
2017!1!85,24,13,晴,西南风,85级
2017!1!86,24,13,晴,西南风,86级
2017!1!87,24,13,晴,西南风,87级
2017!1!88,24,13,晴,西南风,88级
2017!1!89,24,13,晴,西南风,89级
2017!1!90,24,13,晴,西南风,90级
2017!1!91,24,13,晴,西南风,91级
2017!1!92,24,13,晴,西南风,92级
